age,income,debts,employment_length,loan_amount,payment_history,credit_utilization,credit_score,loan_purpose_education,loan_purpose_home_improvement,loan_purpose_personal,creditworthy
59,146413,27745,29,12908,1,0.4242056380445502,530,1,0,0,0
38,64327,32890,32,27423,1,0.3642331368422371,547,1,0,0,0
60,88904,21022,17,44615,1,0.5978428256240177,601,0,0,0,0
21,23797,59093,27,10171,1,0.5798374943536811,514,1,0,0,0
31,67882,53579,10,13721,0,0.16984325572359768,457,0,0,0,0
48,33718,5780,32,17616,1,0.4770224391432547,368,0,1,0,0
45,54560,19311,16,43512,1,0.5579370584477514,692,1,0,0,1
43,96589,29380,5,39458,1,0.5745840693440766,384,0,0,1,0
51,42116,45662,3,47169,1,0.2180061209832283,566,0,0,1,0
50,56244,3356,19,8659,1,0.7448486783297639,368,1,0,0,0
62,121721,5790,26,44369,1,0.03494710387285894,646,0,0,0,0
55,21645,27911,14,12704,0,0.361283536987731,722,0,0,1,0
27,67523,50458,5,33793,0,0.7824105220502772,473,0,0,0,0
36,144085,25363,13,49152,1,0.5682539918448484,414,1,0,0,0
46,137718,21049,10,47473,0,0.26855080818575167,519,1,0,0,0
68,39256,11181,38,32226,1,0.6980035881496173,330,0,0,1,0
69,121376,40825,8,24852,1,0.5717170347145126,822,1,0,0,1
22,120158,17082,25,33082,1,0.7982811733618232,642,0,1,0,0
21,73173,1661,15,23794,1,0.7376749343279252,676,0,1,0,1
68,57430,38412,4,42420,1,0.6140068428158723,429,0,0,1,0
32,59282,49479,9,14379,1,0.4932958985577059,838,0,1,0,0
25,139719,58655,2,8006,1,0.14185030441084817,301,0,0,0,0
57,83374,3920,12,9682,0,0.26871968770652993,400,0,0,1,0
52,88244,26658,29,34840,1,0.42490847818791444,832,0,0,1,1
29,31694,49770,5,33430,1,0.6033062941363247,357,0,0,0,0
61,76264,15025,16,24091,1,0.5185707766631518,688,0,1,0,1
55,95060,9946,18,33983,1,0.2953026806999342,640,0,1,0,0
39,117416,29706,34,24989,0,0.016399714211813445,319,0,1,0,0
68,77545,46500,25,10915,1,0.5012768296818058,554,0,0,1,0
36,138195,40004,4,43552,1,0.29276972867662066,616,0,0,1,0
23,59224,17309,28,19990,1,0.7372622177034297,337,0,1,0,0
40,122516,56230,36,25734,1,0.033706802617778656,836,1,0,0,0
44,117945,47286,19,15824,1,0.588979533192733,685,0,1,0,0
53,33224,34120,20,37081,0,0.9420594951310047,325,0,0,0,0
44,60738,59246,9,12033,1,0.18266517444038452,753,0,0,1,0
31,45150,31027,4,43736,0,0.4769329958430894,622,0,0,0,0
69,83731,8005,35,17241,1,0.10050777189896679,812,0,0,0,1
28,69688,47804,5,6939,1,0.6294250931387391,312,0,0,1,0
56,119929,50310,25,48464,1,0.5550263637902634,670,1,0,0,0
58,128618,1956,3,48562,1,0.413291868970704,590,0,1,0,0
60,93509,35839,38,36063,0,0.5261632512590038,631,0,0,0,0
40,28577,9595,38,35464,1,0.8976089118843201,560,0,0,1,0
55,28070,48908,34,12185,0,0.20433135928795637,504,0,0,0,0
68,146161,13803,0,28045,1,0.03233886658829376,686,0,1,0,1
45,28666,26963,23,45769,1,0.86304823585211,767,1,0,0,0
55,77761,37221,35,48118,1,0.5813459115640274,714,1,0,0,0
45,141178,40443,5,20167,1,0.891751870907224,368,1,0,0,0
49,56368,34723,30,37412,0,0.6009757711790409,771,0,0,1,0
38,26783,40063,19,22625,0,0.8120594790601054,403,0,0,1,0
66,131530,49689,23,40188,0,0.43537662972159646,460,1,0,0,0
38,61914,51864,24,28076,1,0.7523613319753861,499,0,1,0,0
22,90507,16282,35,45605,1,0.9139110522209575,515,0,1,0,0
55,147738,5703,20,20029,1,0.5764017340849842,511,0,0,1,0
36,99026,7563,29,23973,1,0.18897729905675575,807,1,0,0,1
61,135893,26849,23,40121,1,0.2761096388798962,315,0,1,0,0
56,131255,32860,29,32433,1,0.20665813112843173,797,0,1,0,1
53,130616,32585,21,44309,1,0.25438845731977555,631,0,1,0,0
24,87526,23015,27,2932,1,0.313351294857526,555,0,0,1,0
53,90835,13003,6,45254,1,0.5595824488856566,471,1,0,0,0
34,65765,44585,34,2757,0,0.5921117131691944,797,0,0,0,0
41,39956,27958,27,31722,1,0.43223474976944254,770,1,0,0,0
68,107895,27017,13,38853,1,0.619266572022627,683,1,0,0,1
40,66240,12171,9,39405,1,0.09075917635525226,806,0,0,1,1
28,141008,46350,15,2116,0,0.09691035468757836,826,0,1,0,0
27,57148,13201,15,44527,1,0.18011116575408187,624,0,1,0,0
23,114270,30426,30,12691,1,0.5228967230599413,513,0,0,1,0
37,147978,18778,24,1492,0,0.22185473191133043,507,0,0,1,0
53,24757,46241,12,28882,1,0.29045155945765155,468,0,0,1,0
68,39097,43229,5,9811,1,0.40630970781126413,629,0,0,1,0
32,30395,22116,8,28808,0,0.813747462770276,579,0,0,1,0
42,36241,53866,35,25272,0,0.023723514553731517,604,0,0,0,0
42,123892,49364,19,29399,1,0.6528850320342562,445,1,0,0,0
66,47696,34297,17,7474,1,0.6721877657302785,815,1,0,0,0
50,135654,20342,20,27956,1,0.8006692225530702,389,1,0,0,0
58,90480,58056,3,48153,1,0.9334254096697101,752,0,1,0,0
58,66163,28490,32,43506,0,0.02993647045979693,359,0,0,0,0
65,39816,20975,26,14979,1,0.16224586845808403,610,1,0,0,0
28,69840,27723,6,45523,1,0.8873095811154331,827,0,1,0,1
47,122547,24279,5,43565,0,0.4639333765651452,526,0,0,0,0
47,72853,13765,14,29328,1,0.5689447325441289,773,0,0,0,1
54,44917,47678,17,48375,1,0.666396931685916,840,0,1,0,0
41,116731,12561,31,13867,1,0.682275938450681,378,0,0,0,0
50,41566,42899,10,26851,0,0.9324229992833432,732,0,1,0,0
53,95452,1525,19,32279,1,0.9969799232375529,452,1,0,0,0
48,82823,23861,23,31527,1,0.7229558863216309,700,0,1,0,1
67,141392,50153,14,8866,1,0.2943489971130993,578,0,0,0,0
53,40806,34142,6,16449,0,0.8809548782714002,356,1,0,0,0
25,95520,27916,20,11685,1,0.05872870539535399,485,1,0,0,0
68,21759,45965,25,24544,1,0.23877004434575125,697,0,0,1,0
39,146092,5648,13,6451,1,0.8984118602890777,457,0,0,1,0
24,61949,36133,36,22642,1,0.2636295992949614,658,0,0,0,0
55,112374,51677,20,42316,1,0.228444549025531,739,0,1,0,0
69,22482,31523,17,40954,1,0.14674404020884477,765,0,1,0,0
37,44442,30052,4,39870,1,0.8605206400704474,745,0,0,0,0
64,53719,35414,2,32030,1,0.5050576765991758,787,1,0,0,0
48,78066,33781,22,31873,1,0.6781442710236133,829,0,0,0,0
50,113501,5599,25,1619,1,0.2466757202342794,372,0,0,0,0
49,22079,36046,36,34650,1,0.7604600168011043,316,1,0,0,0
66,22717,48064,23,26372,1,0.7624054895124776,830,0,1,0,0
26,79676,36923,18,4642,1,0.31947204465921714,625,0,0,0,0
55,47952,42089,24,29001,0,0.41657580668018,845,0,1,0,0
61,106444,4814,20,35064,1,0.21759337465589884,501,0,0,0,0
57,62460,46893,11,30290,1,0.9767954130896752,643,1,0,0,0
44,110397,36984,32,15122,1,0.6491465512878275,822,1,0,0,1
49,92847,27616,3,25820,1,0.9351984419083603,699,0,0,1,1
69,113607,58371,6,3895,1,0.31035168819284187,517,1,0,0,0
66,109106,3113,21,6366,1,0.7840720038669209,744,0,0,1,1
51,38449,59596,32,9711,1,0.7682000574458946,521,0,0,0,0
55,53536,54508,16,20596,1,0.6947390953478761,682,0,1,0,0
53,84077,44006,23,19793,1,0.9659825855141324,306,1,0,0,0
41,58258,14760,33,9199,1,0.3996197827452524,571,1,0,0,0
52,68302,22927,27,11717,1,0.13941015035385973,315,1,0,0,0
43,145937,21939,38,37191,0,0.6749917706516202,723,0,0,0,0
53,48865,33419,21,11211,0,0.7320167024724341,823,0,0,1,0
23,26645,13588,16,46550,1,0.5793099677242265,320,0,0,0,0
38,139771,57214,33,24360,0,0.21474971420206232,527,0,1,0,0
45,58000,37142,5,22542,1,0.5094113822526618,587,0,0,0,0
62,46737,40198,5,32312,1,0.3190678392034381,433,0,1,0,0
51,31485,53618,33,46242,1,0.4331918628850222,582,1,0,0,0
23,58565,53233,0,37435,1,0.6487663900862173,703,0,1,0,0
60,45522,45738,9,29247,1,0.7477625952639262,365,0,1,0,0
66,139614,34397,20,23357,1,0.2399024439923297,736,0,0,1,1
44,85155,17653,4,42045,1,0.41127210704048384,558,0,1,0,0
52,75168,11831,1,28691,1,0.2764699552817129,402,0,1,0,0
67,72487,6724,21,13424,0,0.20664529772325044,400,0,0,0,0
42,149948,56049,1,19852,1,0.78555334779588,497,1,0,0,0
43,32342,12083,9,23601,0,0.9101601674926225,525,0,0,0,0
22,60806,46917,33,19020,1,0.37652986382773096,762,0,0,0,0
47,68770,20816,15,9155,1,0.7537661351300292,536,1,0,0,0
62,98623,43240,38,4583,0,0.898025336470767,325,1,0,0,0
22,123177,7276,21,16515,1,0.8476629684249293,420,0,1,0,0
46,119785,49403,11,37777,1,0.19098525465383365,805,0,1,0,0
37,95629,39663,23,20710,1,0.9567289626982277,481,0,0,1,0
60,140993,14994,39,44178,1,0.38290967602516784,842,0,0,0,1
53,72603,24499,37,25532,1,0.345848254562098,614,1,0,0,0
29,146944,24040,9,19601,0,0.07180701400500253,572,0,1,0,0
63,132726,44320,34,5967,1,0.4913119175638342,531,1,0,0,0
68,101974,17959,31,19753,1,0.11792347948451941,719,0,1,0,1
59,125947,57181,6,21022,1,0.2560544227181517,741,0,0,1,0
49,46399,7099,20,44463,0,0.3237731955496086,795,0,0,1,0
62,148177,43267,19,10135,1,0.8107380602567672,323,1,0,0,0
46,105382,20576,25,6722,1,0.8767337638919376,408,0,0,1,0
55,101244,36946,3,28413,1,0.309441654286855,801,1,0,0,1
45,129575,56204,21,28236,0,0.8601111400321282,324,0,1,0,0
44,135520,52886,14,16514,1,0.8586586279960932,486,0,0,0,0
33,130904,7116,39,44896,1,0.7670044408810248,587,0,0,1,0
27,96534,16563,20,38212,1,0.15522816287502972,637,0,1,0,0
56,75106,27788,14,41386,1,0.6934196184317217,336,0,0,0,0
65,132599,27928,21,21331,1,0.9455738239347631,436,0,0,0,0
